NAME,AC_NAME,CD_BLOCK,C11_CODE,T_Househol,T_Popu,M_Popu,F_Popu,T_0_6_Yrs,M_0_6_Yrs,F_0_6_Yrs,T_SC_Popu,M_SC_Popu,F_SC_Popu,T_ST_Popu,M_ST_Popu,F_ST_Popu,T_Literate,M_Literate,F_Literate,T_Illitera,M_Illitera,F_Illitera,T_Workers,M_Workers,F_Workers,T_Mn_Wkers,M_Mn_Wkers,F_Mn_Wkers,T_Mn_Culti,M_Mn_Culti,F_Mn_Culti,T_Mn_Agr_L,M_Mn_Agr_L,F_Mn_Agr_L,T_Mn_HH_IW,M_Mn_HH_IW,F_Mn_HH_IW,T_Mn_OWker,M_Mn_OWker,F_Mn_OWker,T_Mg_Wkers,M_Mg_Wkers,F_Mg_Wkers,T_Mg_Culti,M_Mg_Culti,F_Mg_Culti,T_Mg_A_Lab,M_Mg_A_Lab,F_Mg_A_Lab,T_Mg_HH_IW,M_Mg_HH_IW,F_Mg_HH_IW,T_Mg_O_W,M_Mg_O_W,F_Mg_O_W,T_Mg_W_3_6,M_Mg_W_3_6,F_Mg_W_3_6,T_Mg_C_3_6,M_Mg_C_3_6,F_Mg_C_3_6,T_Mg_AL3_6,M_Mg_AL3_6,F_Mg_AL3_6,T_Mg_HIW36,M_Mg_HIW36,F_Mg_HIW36,T_Mg_OW3_6,M_Mg_OW3_6,F_Mg_OW3_6,T_Mg_W_0_3,M_Mg_W_0_3,F_Mg_W_0_3,T_Mg_C_0_3,M_Mg_C_0_3,F_Mg_C_0_3,T_Mg_AL0_3,M_Mg_AL0_3,F_Mg_AL0_3,T_Mg_HIW03,M_Mg_HIW03,F_Mg_HIW03,T_Mg_OW0_3,M_Mg_OW0_3,F_Mg_OW0_3,T_NWkers_P,M_NWkers_P,F_NWkers_P
Khaikuna,Mawsynram,Mawsynram,278750,25,126,66,60,39,22,17,0,0,0,123,64,59,38,23,15,88,43,45,34,27,7,22,20,2,13,12,1,8,7,1,0,0,0,1,1,0,12,7,5,6,6,0,6,1,5,0,0,0,0,0,0,12,7,5,6,6,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,39,53
Sohlab,Shella,"Shella C & RD, Sohra",278864,73,415,225,190,78,42,36,7,7,0,377,190,187,261,152,109,154,73,81,156,113,43,155,113,42,0,0,0,0,0,0,0,0,0,155,113,42,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,259,112,147
Asimpara,Mawsynram,Mawsynram,278690,27,144,76,68,36,23,13,0,0,0,141,73,68,50,29,21,94,47,47,58,32,26,32,28,4,11,9,2,0,0,0,2,2,0,19,17,2,26,4,22,14,1,13,0,0,0,1,0,1,11,3,8,26,4,22,14,1,13,0,0,0,1,0,1,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,44,42
Jatap,Shella,"Shella C & RD, Sohra",278860,34,183,90,93,34,18,16,8,4,4,173,85,88,148,71,77,35,19,16,68,50,18,67,50,17,0,0,0,0,0,0,0,0,0,67,50,17,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,40,75
Purnanagar,Mawsynram,Mawsynram,278761,43,227,122,105,34,14,20,27,12,15,156,78,78,151,93,58,76,29,47,117,80,37,102,68,34,17,17,0,31,26,5,11,0,11,43,25,18,15,12,3,1,1,0,5,5,0,0,0,0,9,6,3,14,11,3,1,1,0,5,5,0,0,0,0,8,5,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,110,42,68
Khahmalai,Shella,"Shella C & RD, Sohra",278875,49,258,144,114,44,28,16,0,0,0,2,1,1,49,42,7,209,102,107,133,70,63,132,70,62,2,2,0,89,65,24,0,0,0,41,3,38,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,125,74,51
Tyllap,Shella,"Shella C & RD, Sohra",278900,57,230,122,108,52,28,24,26,17,9,159,80,79,77,45,32,153,77,76,79,56,23,26,21,5,0,0,0,4,3,1,0,0,0,22,18,4,53,35,18,0,0,0,5,3,2,1,0,1,47,32,15,31,24,7,0,0,0,2,2,0,1,0,1,28,22,6,22,11,11,0,0,0,3,1,2,0,0,0,19,10,9,151,66,85
Kamarphil,Mawsynram,Mawsynram,278732,61,302,152,150,66,29,37,10,4,6,228,120,108,125,69,56,177,83,94,90,73,17,56,49,7,12,12,0,5,5,0,2,2,0,37,30,7,34,24,10,2,0,2,1,1,0,1,1,0,30,22,8,29,24,5,2,0,2,1,1,0,1,1,0,25,22,3,5,0,0,0,0,0,0,0,0,0,0,0,5,0,5,212,79,133
Bordup,Mawsynram,Mawsynram,278738,49,268,147,121,34,14,20,0,0,0,196,104,92,183,116,67,85,31,54,133,82,51,116,67,49,25,24,1,37,22,15,0,0,0,54,21,33,17,15,2,0,0,0,14,14,0,0,0,0,3,1,2,17,15,2,0,0,0,14,14,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,65,70
Kalatek,Shella,"Shella C & RD, Sohra",278887,302,1769,899,870,383,186,197,1022,512,510,27,16,11,609,351,258,1160,548,612,675,425,250,358,328,30,107,104,3,110,93,17,1,0,1,140,131,9,317,97,220,27,10,17,22,6,16,28,4,24,240,77,163,306,96,210,25,10,15,21,6,15,27,4,23,233,76,157,11,1,1,2,0,2,1,0,1,1,0,1,7,1,6,1094,474,620
